pincombination,date,Split,Frequency,Zreal,Zimag,Zmod,Zphase,rh,Replicate,run,Path,TCN
9-12,021119,B,31.6723,191659200,-3654637000,3659659000,-86.998,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,24.93351,266312400,-4323730000,4331924000,-86.47542,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,19.86229,270220600,-5500085000,5506719000,-87.1873,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,12.40079,1580555000,-8889397000,9028817000,-79.91805,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,9.93114,1140988000,-10418700000,10480990000,-83.75025,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,100078.1,8038.375,-1189072,1189099,-89.61267,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,79453.13,10482.48,-1498418,1498455,-89.59918,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,63140.62,10272.58,-1879305,1879333,-89.68681,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,50203.12,23322.59,-2355135,2355250,-89.43262,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,39890.62,21458.32,-2971106,2971184,-89.5862,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,31640.63,18286.64,-3726729,3726774,-89.71886,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,20015.62,74183.45,-5890346,5890813,-89.27845,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,15890.62,147120.2,-7374930,7376397,-88.85718,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,12609.37,155348.5,-9321089,9322383,-89.04517,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,10078.13,148798.9,-11624550,11625500,-89.26663,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,8015.625,250794.6,-14640740,14642890,-89.01862,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,6328.125,349708.5,-18413340,18416660,-88.91196,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,5015.625,514374.4,-23216790,23222490,-88.7308,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,3984.375,450273.9,-29314670,29318130,-89.12,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,3170.956,521831.3,-36526740,36530470,-89.18151,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
9-12,021119,B,2527.573,797675.8,-45710250,45717210,-89.00025,0,B4,3,bg_no_rh/021119_B4_9_12_#3.txt,3500
